,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,Hamilton,2020,160,8.9,90,28292,
1,Knives Out,2019,130,7.9,82,353175,165.36
2,The Gentlemen,2019,113,7.9,51,165935,
3,Once Upon a Time... in Hollywood,2019,161,7.7,83,494848,142.5
4,Parasite,2019,132,8.6,96,452257,53.37
5,Joker,2019,122,8.5,59,832543,335.45
6,Ford v Ferrari,2019,152,8.1,81,239381,117.62
7,Avengers: Endgame,2019,181,8.4,78,742503,858.37
8,The Shawshank Redemption,1994,142,9.3,80,2265930,28.34
9,Inception,2010,148,8.8,74,1987835,292.58
10,1917,2019,119,8.3,78,348111,159.23
11,Interstellar,2014,169,8.6,74,1436306,188.02
12,The Wolf of Wall Street,2013,180,8.2,75,1133037,116.9
13,Back to the Future,1985,116,8.5,87,1020070,210.61
14,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64,621055,317.58
15,The Godfather,1972,175,9.2,100,1562940,134.97
16,Titanic,1997,194,7.8,75,1019421,659.33
17,Little Women,2019,135,7.9,91,116647,108.1
18,The Dark Knight,2008,152,9.0,84,2229835,534.86
19,Mad Max: Fury Road,2015,120,8.1,90,850852,154.06
20,Moana,2016,107,7.6,81,258276,248.76
21,Stand by Me,1986,89,8.1,75,353839,52.29
22,The Shining,1980,146,8.4,66,863343,44.02
23,Jojo Rabbit,2019,108,7.9,58,239485,0.35
24,Gladiator,2000,155,8.5,67,1301317,187.71
25,Pulp Fiction,1994,154,8.9,94,1771642,107.93
26,Jaws,1975,124,8.0,87,533573,260.0
27,The Silence of the Lambs,1991,118,8.6,85,1226989,130.74
28,Schindler's List,1993,195,8.9,94,1176838,96.9
29,The Princess Bride,1987,98,8.1,77,383202,30.86
30,The Green Mile,1999,189,8.6,61,1105780,136.8
31,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1612712,315.54
32,Deadpool,2016,108,8.0,65,878237,363.07
33,Inglourious Basterds,2009,153,8.3,69,1222903,120.54
34,Airplane!,1980,88,7.7,78,206782,83.4
35,Zodiac,2007,157,7.7,78,439498,33.08
36,The Matrix,1999,136,8.7,73,1623816,171.48
37,Apocalypse Now,1979,147,8.4,94,587577,83.47
38,Jurassic Park,1993,127,8.1,68,839346,402.45
39,The Irishman,2019,209,7.9,94,299558,
40,Mission: Impossible - Fallout,2018,147,7.7,86,278264,220.16
41,Avengers: Infinity War,2018,149,8.4,68,788932,678.82
42,Django Unchained,2012,165,8.4,81,1310641,162.81
43,Fight Club,1999,139,8.8,66,1798709,37.03
44,The Big Lebowski,1998,117,8.1,71,708725,17.5
45,Thor: Ragnarok,2017,130,7.9,74,559969,315.06
46,Spider-Man: Into the Spider-Verse,2018,117,8.4,87,329716,190.24
47,The Prestige,2006,130,8.5,66,1147900,53.09
48,The Truman Show,1998,103,8.1,90,904664,125.62
49,Se7en,1995,127,8.6,65,1394033,100.13
