,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,Hamilton,2020,160,8.9,90.0,28292,
1,Knives Out,2019,130,7.9,82.0,353175,165.36
2,The Gentlemen,2019,113,7.9,51.0,165935,
3,Once Upon a Time... in Hollywood,2019,161,7.7,83.0,494848,142.5
4,Parasite,2019,132,8.6,96.0,452257,53.37
5,Joker,2019,122,8.5,59.0,832543,335.45
6,Ford v Ferrari,2019,152,8.1,81.0,239381,117.62
7,Avengers: Endgame,2019,181,8.4,78.0,742503,858.37
8,The Shawshank Redemption,1994,142,9.3,80.0,2265930,28.34
9,Inception,2010,148,8.8,74.0,1987835,292.58
10,1917,2019,119,8.3,78.0,348111,159.23
11,Interstellar,2014,169,8.6,74.0,1436306,188.02
12,The Wolf of Wall Street,2013,180,8.2,75.0,1133037,116.9
13,Back to the Future,1985,116,8.5,87.0,1020070,210.61
14,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64.0,621055,317.58
15,The Godfather,1972,175,9.2,100.0,1562940,134.97
16,Titanic,1997,194,7.8,75.0,1019421,659.33
17,Little Women,2019,135,7.9,91.0,116647,108.1
18,The Dark Knight,2008,152,9.0,84.0,2229835,534.86
19,Mad Max: Fury Road,2015,120,8.1,90.0,850852,154.06
20,Moana,2016,107,7.6,81.0,258276,248.76
21,Stand by Me,1986,89,8.1,75.0,353839,52.29
22,The Shining,1980,146,8.4,66.0,863343,44.02
23,Jojo Rabbit,2019,108,7.9,58.0,239485,0.35
24,Gladiator,2000,155,8.5,67.0,1301317,187.71
25,Pulp Fiction,1994,154,8.9,94.0,1771642,107.93
26,Jaws,1975,124,8.0,87.0,533573,260.0
27,The Silence of the Lambs,1991,118,8.6,85.0,1226989,130.74
28,Schindler's List,1993,195,8.9,94.0,1176838,96.9
29,The Princess Bride,1987,98,8.1,77.0,383202,30.86
30,The Green Mile,1999,189,8.6,61.0,1105780,136.8
31,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92.0,1612712,315.54
32,Deadpool,2016,108,8.0,65.0,878237,363.07
33,Inglourious Basterds,2009,153,8.3,69.0,1222903,120.54
34,Airplane!,1980,88,7.7,78.0,206782,83.4
35,Zodiac,2007,157,7.7,78.0,439498,33.08
36,The Matrix,1999,136,8.7,73.0,1623816,171.48
37,Apocalypse Now,1979,147,8.4,94.0,587577,83.47
38,Jurassic Park,1993,127,8.1,68.0,839346,402.45
39,The Irishman,2019,209,7.9,94.0,299558,
40,Mission: Impossible - Fallout,2018,147,7.7,86.0,278264,220.16
41,Avengers: Infinity War,2018,149,8.4,68.0,788932,678.82
42,Django Unchained,2012,165,8.4,81.0,1310641,162.81
43,Fight Club,1999,139,8.8,66.0,1798709,37.03
44,The Big Lebowski,1998,117,8.1,71.0,708725,17.5
45,Thor: Ragnarok,2017,130,7.9,74.0,559969,315.06
46,Spider-Man: Into the Spider-Verse,2018,117,8.4,87.0,329716,190.24
47,The Prestige,2006,130,8.5,66.0,1147900,53.09
48,The Truman Show,1998,103,8.1,90.0,904664,125.62
49,Se7en,1995,127,8.6,65.0,1394033,100.13
50,Blade Runner 2049,2017,164,8.0,81.0,436823,92.05
51,Forrest Gump,1994,142,8.8,82.0,1745908,330.25
52,Marriage Story,2019,137,8.0,94.0,222350,2.0
53,Call Me by Your Name,2017,132,7.9,93.0,196799,18.1
54,The Goonies,1985,114,7.8,62.0,235284,61.5
55,Saving Private Ryan,1998,169,8.6,91.0,1197427,216.54
56,Catch Me If You Can,2002,141,8.1,75.0,794099,164.62
57,No Country for Old Men,2007,122,8.1,91.0,825812,74.28
58,Bohemian Rhapsody,2018,134,8.0,49.0,430215,216.43
59,The Departed,2006,151,8.5,85.0,1153721,132.38
60,Guardians of the Galaxy,2014,121,8.0,76.0,1019298,333.18
61,Léon: The Professional,1994,110,8.5,64.0,1002186,19.5
62,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.0,63.0,998599,305.41
63,The Dark Knight Rises,2012,164,8.4,78.0,1473493,448.14
64,E.T. the Extra-Terrestrial,1982,115,7.8,91.0,360902,435.11
65,Almost Famous,2000,122,7.9,90.0,246430,32.53
66,Once Upon a Time in America,1984,229,8.4,None Given,300427,5.32
67,Scarface,1983,170,8.3,65.0,717241,45.6
68,Star Trek,2009,127,7.9,82.0,570720,257.73
69,Gone Girl,2014,149,8.1,79.0,827877,167.77
70,The Help,2011,146,8.0,62.0,417762,169.71
71,Goodfellas,1990,146,8.7,90.0,985601,46.84
72,X-Men: Days of Future Past,2014,132,8.0,75.0,648329,233.92
73,Alien,1979,117,8.4,89.0,764725,78.9
74,Portrait of a Lady on Fire,2019,122,8.1,95.0,45740,
75,Ferris Bueller's Day Off,1986,103,7.8,61.0,312157,70.14
76,"The Good, the Bad and the Ugly",1966,178,8.8,90.0,668888,6.1
77,Deadpool 2,2018,119,7.7,66.0,456940,324.59
78,Watchmen,2009,162,7.6,56.0,488726,107.51
79,Harry Potter and the Goblet of Fire,2005,157,7.7,81.0,527524,290.01
80,Braveheart,1995,178,8.3,68.0,938404,75.6
81,Good Will Hunting,1997,126,8.3,70.0,832608,138.43
82,Love Actually,2003,135,7.6,55.0,414498,59.7
83,Taxi Driver,1976,114,8.3,94.0,698774,28.26
84,Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,85.0,739440,381.01
85,Pride & Prejudice,2005,129,7.8,82.0,245472,38.41
86,The Fifth Element,1997,126,7.7,52.0,424308,63.54
87,Requiem for a Dream,2000,102,8.3,68.0,744925,3.64
88,Get Out,2017,104,7.7,85.0,467702,176.04
89,Prisoners,2013,153,8.1,70.0,577037,61.0
90,Raiders of the Lost Ark,1981,115,8.4,85.0,861555,248.16
91,Kingsman: The Secret Service,2014,129,7.7,60.0,577020,128.26
92,A Star Is Born,2018,136,7.7,88.0,314728,215.29
93,Once Upon a Time in the West,1968,165,8.5,80.0,293286,5.32
94,Dazed and Confused,1993,102,7.6,78.0,160322,7.99
95,The Usual Suspects,1995,106,8.5,77.0,964010,23.34
96,Hot Fuzz,2007,121,7.8,81.0,451666,23.64
97,Green Book,2018,130,8.2,69.0,335489,85.08
98,Back to the Future Part II,1989,108,7.8,57.0,464449,118.5
99,Baby Driver,2017,113,7.6,86.0,418342,107.83
100,Dunkirk,2017,106,7.9,94.0,525313,188.37
101,Spirited Away,2001,125,8.6,96.0,621308,10.06
102,Toy Story 4,2019,100,7.8,84.0,186129,434.04
103,The Martian,2015,144,8.0,80.0,736875,228.43
104,Avatar,2009,162,7.8,83.0,1097759,760.51
105,Kill Bill: Vol. 1,2003,111,8.1,69.0,972633,70.1
106,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,97.0,439105,0.28
107,Star Wars: Episode IV - A New Hope,1977,121,8.6,90.0,1199412,322.74
108,The Lord of the Rings: The Return of the King,2003,201,8.9,94.0,1597218,377.85
109,The Breakfast Club,1985,97,7.9,66.0,346041,45.88
110,American Beauty,1999,122,8.3,84.0,1045043,130.1
111,Stardust,2007,127,7.6,66.0,249092,38.63
112,The Hateful Eight,2015,168,7.8,68.0,495622,54.12
113,Come and See,1985,142,8.3,None Given,52843,
114,Batman Begins,2005,140,8.2,70.0,1271749,206.85
